work_type_code,work_type_name_ru,family_code,family_name_ru,family_sort,is_active,ui_source
WT-WINDOW-PVC,Окна ПВХ (монтаж/замена),windows,Окна,65,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-WINDOW-REVEAL,Откосы и подоконники (внутренние),windows,Окна,65,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-CONCRETE-FLOOR,Бетонирование пола,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FLOOR-LAMINATE,Ламинат/плинтус,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-LEVEL,Наливной пол,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
ind_floor_epoxy,Наливные/эпоксидные полы,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-PLINTH,Плинтуса (монтаж),floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FLR-TOPPING,Пол: топпинг/устройство,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-SCREED,Стяжка пола,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FLR-HEAT-WATER,Тёплый пол водяной,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-FLR-HEAT-ELEC,Тёплый пол электрический (кабель/маты),floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-RF-PORCELAIN,Фальшпол под керамогранит (усиленный),floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-RF-HPL,Фальшпол с HPL антистатиком (панели ESD),floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-RF-CARPET,Фальшпол с ковровым покрытием,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-RF-PVC,Фальшпол с ПВХ-ESD покрытием,floor,Полы,70,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-TILE,Плитка (пол/стены),tile,Плитка,80,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-WP,Гидроизоляция,hydro,Гидроизоляция,90,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-HYDRO,Гидроизоляция,hydro,Гидроизоляция,90,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-INSUL-CEIL-INT,Утепление / звукоизоляция потолков,insul,Утепление,95,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-INSUL-CEIL-PRO,Утепление / звукоизоляция потолков (PRO),insul,Утепление,95,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-INSUL-WALL-PRO,Утепление / звукоизоляция стен (PRO),insul,Утепление,95,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-INSUL-WALL-INT,Утепление / звукоизоляция стен (изнутри),insul,Утепление,95,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
res_electrica,Электрика (жилые),elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
electrica,Электрика (универсальная),elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
com_mep_electrica,Электрика офисная,elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ELEC-SWITCH,Электрика: выключатели,elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ELEC-CABLE,Электрика: кабельные линии/штробы,elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ELEC-TRAY,Электрика: кабельные лотки,elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ELEC-OUTLET,Электрика: розетки,elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ELEC-LIGHT,Электрика: светильники,elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
WT-ELEC,Электромонтаж (общий),elec,Электрика,100,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
com_plumbing,Сантехника (офис/ТЦ),plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
sanitary,Сантехника (универсальная),plumb,Сантехника,110,N/A (not provided by v_work_types_picker),src/components/foreman/WorkTypePicker.tsx -> v_work_types_picker
